"","design","n","rating","se","dimension"
"1","Cluttered",102,2.58823529411765,0.128725168974989,"Aesthetic"
"2","Decluttered",102,3.02941176470588,0.116120458373332,"Aesthetic"
"3","Focused",102,4.00980392156863,0.0841727453850722,"Aesthetic"
"4","Cluttered",102,3.41176470588235,0.139578741358105,"Clarity"
"5","Decluttered",102,3.47058823529412,0.135594696198437,"Clarity"
"6","Focused",102,4.04901960784314,0.12646152065604,"Clarity"
"7","Cluttered",102,2.45098039215686,0.131171158554076,"Professionalism"
"8","Decluttered",102,3.31372549019608,0.129946595482574,"Professionalism"
"9","Focused",102,4,0.111466460825459,"Professionalism"
"10","Cluttered",102,3.14705882352941,0.121784647846447,"Trustworthiness"
"11","Decluttered",102,3.3921568627451,0.118356754126453,"Trustworthiness"
"12","Focused",102,3.7843137254902,0.111141559811333,"Trustworthiness"
